"filename","type","name","set","price","back_filename"
img645.jpg,graded,Charizard VMAX #SV107/SV122 - PSA 10,Shining Fates,300,
img646.jpg,graded,Leafeon V #166/203 - PSA 10,Evolving Skies,120,
img647.jpg,graded,Dark Sylveon V #SWSH134 - PSA 10,Celebrations 25,160,
img648.jpg,graded,Pikachu #120/SV-P - PSA 10,Gym Event Campaign,100,
img649.jpg,graded,Quaxly #019/M-P - PSA 10,McDonald's Promo,45,
img650.jpg,graded,Latias #XY78 - PSA 7,XY Promos,75,
img651.jpg,graded,Ancient Mew - PSA 9,WoTC Promos,250,
img652.jpg,graded,Ampharos 1st Edition #1/111 - PSA 8,Neo Genesis,150,
img653.jpg,graded,Gyarados #7/130 - PSA 8,Base 2,90,
img654.jpg,graded,Pikachu #012 - PSA 6,Black Star Promo,175,
img655.jpg,graded,Mega Charizard X ex #023 - PSA 9,Mega Evolution Promo,55,
img656.jpg,graded,Moltres & Zapdos & Articuno GX #69/68 - PSA 9,Hidden Fates,50,
img657.jpg,graded,Charizard GX #9/68 - PSA 9,Battle Academy,35,
img658.jpg,graded,Mewtwo #052 - PSA 7,151,45,
singles_1334.jpg,singles,Magikarp #203 - Near Mint,Paldea Evolved,400,singles_1335.jpg
singles_1336.jpg,singles,Moltres & Zapdos & Articuno-GX #SM210 - Near Mint,SM Black Star Promos,170,singles_1337.jpg
singles_1338.jpg,singles,Kyurem ex #165 - Near Mint,Black Bolt,75,singles_1339.jpg
singles_1340.jpg,singles,Steven's Metagross ex #289 - Near Mint,Ascended Heroes,105,singles_1341.jpg
singles_1342.jpg,singles,Seismitoad #105 - Near Mint,Black Bolt,240,singles_1343.jpg
singles_1344.jpg,singles,Ivysaur #134 - Near Mint,Mega Evolution,23,singles_1345.jpg
singles_1346.jpg,singles,Meowth ex #121 - Near Mint,Perfect Order,200,singles_1347.jpg
singles_1348.jpg,singles,Meowth #106 - Near Mint,Phantasmal Flames,30,singles_1349.jpg
singles_1350.jpg,singles,Mega Feraligatr ex #274 - Near Mint,Ascended Heroes,175,singles_1351.jpg
singles_1352.jpg,singles,Mega Zygarde ex #120 - Near Mint,Perfect Order,80,singles_1353.jpg
